City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
79,Avarua,20,CK,1611462206,66,-21.2078,-159.775,86.0,12.66
80,Takahata,75,JP,1611462081,70,38.0025,140.1911,37.4,4.61
81,Goodyear,40,US,1611461960,82,33.4353,-112.3582,55.0,4.61
82,Harvard,100,US,1611462206,72,42.4222,-88.6137,25.0,7.72
83,East London,20,ZA,1611461941,83,-33.0153,27.9116,68.0,16.11
84,Hays,100,US,1611462207,95,30.0502,-98.0336,61.0,4.21
85,Airai,89,TL,1611462207,78,-8.9266,125.4092,72.97,4.07
86,Tual,84,ID,1611462207,72,-5.6667,132.75,84.6,11.61
87,Itaocara,73,BR,1611461977,91,-21.6692,-42.0761,68.0,1.9
88,Pacifica,1,US,1611462055,71,37.6138,-122.4869,51.8,9.22
89,Hong Kong,27,HK,1611462121,81,22.2855,114.1577,66.0,3.0
90,Mehrān,0,IR,1611462207,59,33.1222,46.1646,28.4,6.91
91,Toora-Khem,100,RU,1611462207,87,52.4675,96.11,-0.9,1.52
92,Esperance,90,AU,1611462207,53,-33.8667,121.9,73.4,9.22
93,Sakakah,0,SA,1611462207,44,29.9697,40.2064,37.4,3.44
94,Vardø,100,NO,1611462207,95,70.3705,31.1107,19.89,27.94
95,São Filipe,46,CV,1611462208,64,14.8961,-24.4956,72.46,4.27
96,Fukuechō,75,JP,1611462208,67,32.6881,128.8419,55.4,23.02
97,Ipixuna,40,BR,1611462208,88,-1.7625,-48.8043,77.0,3.44
98,Soto la Marina,62,MX,1611462208,90,23.7667,-98.2167,72.0,3.0
99,Hay River,4,CA,1611462120,69,60.8156,-115.7999,-20.2,4.61
100,Coyhaique,0,CL,1611462042,71,-45.5752,-72.0662,48.2,4.61
101,Sémbé,98,CG,1611462208,84,1.6481,14.5806,71.51,3.65
102,Aden,62,YE,1611461991,72,12.7794,45.0367,74.98,19.44
103,Nuevo Progreso,100,MX,1611462208,66,23.1667,-97.95,73.99,1.01
104,Conselheiro Lafaiete,81,BR,1611462208,96,-20.6603,-43.7861,62.96,4.18
105,Kedrovyy,40,RU,1611462208,84,56.1667,91.8167,-2.2,4.47
106,Aklavik,87,CA,1611462208,76,68.2191,-135.0107,-16.6,8.05
107,Yuncheng,100,CN,1611462209,57,35.0231,110.9928,45.39,8.19
108,Tezu,70,IN,1611462209,34,27.9167,96.1667,71.13,3.04
109,Haverfordwest,75,GB,1611462209,93,51.8017,-4.9691,35.6,27.63
110,Vaini,75,TO,1611461976,83,-21.2,-175.2,82.4,5.75
111,Thompson,90,CA,1611462209,76,55.7435,-97.8558,-14.8,9.22
112,Saint George,75,US,1611462026,70,37.1041,-113.5841,43.0,3.44
113,Adjumani,49,UG,1611462209,60,3.3779,31.7909,70.39,0.36
114,Dikson,93,RU,1611462209,90,73.5069,80.5464,-15.88,8.97
115,Grindavik,40,IS,1611462209,74,63.8424,-22.4338,30.2,25.32
116,Uvinza,100,TZ,1611462209,90,-5.1036,30.3911,64.9,1.63
117,Khatanga,100,RU,1611462209,85,71.9667,102.5,-24.84,11.21
118,Abu Dhabi,0,AE,1611461957,77,24.4667,54.3667,62.6,12.75
119,Ostrovnoy,80,RU,1611462209,91,68.0531,39.5131,0.5,11.41
120,Matagami,1,CA,1611462210,84,49.7502,-77.6328,-7.6,9.22
121,Touros,40,BR,1611462210,83,-5.1989,-35.4608,77.0,4.61
122,Belyy Yar,40,RU,1611462210,78,53.6039,91.3903,3.2,3.85
123,Lázaro Cárdenas,91,MX,1611462210,83,17.9583,-102.2,75.11,2.44
124,Huarmey,93,PE,1611462210,78,-10.0681,-78.1522,71.46,5.88
125,Hobart,40,AU,1611461962,47,-42.8794,147.3294,89.01,14.97
126,Bandarbeyla,58,SO,1611462210,71,9.4942,50.8122,72.36,18.75
127,Kindu,100,CD,1611462210,96,-2.95,25.95,70.43,2.13
128,Souillac,40,MU,1611462210,83,-20.5167,57.5167,78.8,6.46
129,Faanui,0,PF,1611462210,74,-16.4833,-151.75,81.28,12.5
130,Flinders,43,AU,1611462210,59,-34.5833,150.8552,87.01,10.0
131,Necochea,1,AR,1611462210,71,-38.5473,-58.7368,75.99,10.0
132,Provideniya,1,RU,1611462210,83,64.3833,-173.3,6.69,2.3
133,Birao,74,CF,1611462210,22,10.2849,22.7882,69.58,9.31
134,Lafayette,90,US,1611462099,88,30.2335,-92.0668,59.0,5.75
135,Santa Isabel Rio Negro,65,BR,1611462211,98,-0.4139,-65.0192,72.82,1.66
136,Husavik,90,IS,1611462047,93,66.0449,-17.3389,28.4,14.97
